building_num,building_name,building_code,lat,long
001,Bricker Hall,BK,40.00066,-83.01339349999999
003,Agricultural Administration,AA,40.0054372,-83.0271165
004,"Eighteenth Ave, 209 W",EA,40.001546,-83.014191
005,Eighteenth Avenue Library,SE,40.0016229,-83.01331669999999
007,Mathematics Tower,MW,40.0014814,-83.0144428
008,Waterman - Dairy Loose Housing Barn,,40.0103639,-83.0400394
009,ElectroScience Laboratory,ES,39.9992942,-83.0451298
010,Biological Sciences Greenhouses,,39.9968078,-83.01674009999999
011,Arps Hall,AP,40.0018032,-83.00960370000001
012,Ornamental Plant Germplasm Center,,40.0017549,-83.0273974
014,Jennings Hall,JE,39.9966935,-83.01526319999999
017,Knowlton Hall,KN,40.0035858,-83.016919
018,Campbell Hall,CM,39.9977366,-83.01580129999999
021,Airport Administration,,39.99847219999999,-82.93486299999999
022,Longaberger Alumni House,,40.008796,-83.0212835
023,Waterman - Dairy Research Barn,,40.0103639,-83.0400394
024,Postle Hall,PH,39.9960543,-83.01641529999999
025,Derby Hall,DB,40.0006366,-83.0123443
026,Caldwell Laboratory,CL,40.002438,-83.01500279999999
028,Faculty Club,,39.9982829,-83.01266799999999
029,Women's Field House,,39.9981076,-83.0210302
030,Denney Hall,DE,40.0013559,-83.01247269999999
031,Airport Operations,AO,39.9999399,-82.8871767
037,Hagerty Hall,HH,39.998455,-83.00992649999999
038,Hamilton Hall,HM,39.995053,-83.0150304
039,Hayes Hall,HA,40.000485,-83.0111639
040,Fechko Alumnae Scholarship House,,39.9958432,-83.0132466
041,Lazenby Hall,LZ,39.9985097,-83.0156726
042,Hughes Hall,HU,40.0008683,-83.010745
046,Journalism Building,JR,40.0018214,-83.0151585
047,Mershon Center,MM,39.9918201,-83.01435889999999
048,Pennsylvania Place,,39.9915101,-83.0148415
049,Drinko Hall,DI,39.9961107,-83.0081752
050,Thompson Library,LI,39.9991926,-83.01486249999999
052,Younkin Success Center,YN,39.9949653,-83.01442809999999
053,McPherson Chemical Laboratory,MP,40.0024467,-83.0123192
054,Mendenhall Laboratory,ML,39.9984504,-83.0111178
055,Mershon Auditorium,MM,40.00040360000001,-83.0088571
056,Converse Hall,CV,40.0050505,-83.01737039999999
057,Edison Joining Technology Center,ED,40.0062402,-83.0425721
059,Fry Hall,FR,39.9945808,-83.016245
060,Orton Hall,OR,39.9982244,-83.0118881
061,Page Hall,PA,39.9991603,-83.0097
063,Cockins Hall,CH,40.0012775,-83.0150304
064,Parker Food Science and Technology,FS,40.0029454,-83.0287412
065,Smith Laboratory,SM,40.0025155,-83.0131969
066,Plumb Hall,PL,40.0035522,-83.026688
067,Pomerene Hall,PO,39.99736920000001,-83.01440079999999
069,McCracken Power Plant,,40.0017666,-83.01685599999999
070,Physics Research Building,PY,40.0033304,-83.01426939999999
072,Enarson Classroom Building,EC,40.0021772,-83.01677520000001
073,Research Center,,39.9531067,-82.9794727
076,St John Arena,,40.0053351,-83.0191323
077,Central Service Building,,39.9813312,-82.8373175
078,Maintenance Building,,39.8192911,-82.94122929999999
080,Sisson Hall,SI,40.0000471,-83.02563119999999
081,Schottenstein Center,JS,40.00766,-83.0250631
082,Ohio Stadium,ST,40.00165760000001,-83.01972789999999
083,Parking Garage - Northwest,,40.0316438,-83.0320357
084,Stillman Hall,SH,40.0018626,-83.0110385
085,Hale Hall,FW,39.9969858,-83.0117566
086,French Field House,,40.00536210000001,-83.0203054
087,Townshend Hall,TO,40.0000834,-83.01566009999999
088,Parking Garage - Tuttle Park Pl,,40.0027651,-83.0174603
